id;title;description;category;city;venue_name;address_text;starts_at;ends_at;cover_image_url;price_label;source_name;source_url;ticket_url;status;provider_code;external_id;last_synced_at;raw_payload;created_at;updated_at
1;saloon;../fake-data/blob/hipster.txt;long indeed propound;Mardin;camouflage phew;yowza legal thump;2026-08-15T07:23:33;2026-08-14T21:23:17;bah knit bah;deeply low;cinema who;deliberately to;readjust pile unless;PUBLISHED;rapid though;soft;2026-08-15T00:08:09;../fake-data/blob/hipster.txt;2026-08-15T01:54:00;2026-08-15T10:05:45
2;and yippee;../fake-data/blob/hipster.txt;beautifully prejudge terribly;Niğde;misfire suspiciously;inside;2026-08-14T19:23:17;2026-08-14T17:36:05;wetly modulo;revoke sparse out;gratefully grass incidentally;than;however responsibility;CANCELLED;exotic ick above;er;2026-08-14T23:45:37;../fake-data/blob/hipster.txt;2026-08-15T11:40:26;2026-08-14T16:40:21
3;aside pro intervention;../fake-data/blob/hipster.txt;factorize;Hakkari;useless concerning;yum pish;2026-08-14T20:49:31;2026-08-15T13:14:55;meanwhile ick;questionably throughout once;pronoun rewrite;furthermore editor why;gee drat;CANCELLED;joyful;gosh;2026-08-15T02:59:48;../fake-data/blob/hipster.txt;2026-08-14T23:24:43;2026-08-15T10:10:27
4;hopelessly perfection equally;../fake-data/blob/hipster.txt;bravely yum;Trabzon;essence;decode likewise viciously;2026-08-14T16:56:11;2026-08-15T01:02:13;engage circa;yak charter sandbar;considering;mockingly;although while;CANCELLED;boo;beyond pacemaker;2026-08-15T11:36:01;../fake-data/blob/hipster.txt;2026-08-14T22:16:08;2026-08-15T14:04:08
5;ha wonderful necessary;../fake-data/blob/hipster.txt;see hmph;Kars;aha indeed tangible;excepting procurement brr;2026-08-15T10:40:40;2026-08-15T00:11:42;fooey aha deadly;millet;pinstripe;concerning lightly;hence but;PUBLISHED;needily that give;for ew;2026-08-15T03:06:02;../fake-data/blob/hipster.txt;2026-08-14T18:04:44;2026-08-15T01:55:38
6;overload which arrogantly;../fake-data/blob/hipster.txt;flash;Tunceli;ew tattered;furthermore;2026-08-15T03:41:57;2026-08-15T15:09:11;strictly;reservation terribly;including;sonar eek circa;finally um precious;PUBLISHED;that;probate leap;2026-08-14T22:37:27;../fake-data/blob/hipster.txt;2026-08-14T18:23:39;2026-08-15T03:42:39
7;cease;../fake-data/blob/hipster.txt;after willfully;Ardahan;fortunately excitedly concerning;promptly;2026-08-14T20:35:34;2026-08-15T05:40:07;furthermore;shady ruin among;custom fairly excepting;obtrude consequently phew;till;DRAFT;how violently;brr amongst;2026-08-14T16:32:44;../fake-data/blob/hipster.txt;2026-08-15T03:35:36;2026-08-15T03:19:26
8;nautical;../fake-data/blob/hipster.txt;inspect when;Ardahan;upbeat;whenever;2026-08-14T18:43:47;2026-08-14T19:28:52;finally;swim blue cop-out;because beneficial;as;honesty;CANCELLED;than save;bell or;2026-08-15T06:54:37;../fake-data/blob/hipster.txt;2026-08-15T12:36:08;2026-08-14T21:25:33
9;bracelet;../fake-data/blob/hipster.txt;on;Kilis;general;etch brightly rival;2026-08-15T08:49:33;2026-08-15T01:44:40;bah although;contrail;eek pear;powerfully lanky inside;indeed till nectarine;PUBLISHED;while mysteriously pish;ew;2026-08-15T05:33:00;../fake-data/blob/hipster.txt;2026-08-14T22:24:26;2026-08-15T13:17:10
10;boohoo;../fake-data/blob/hipster.txt;at;Tokat;phooey;wrong of;2026-08-14T16:52:21;2026-08-15T13:24:24;tangible under unexpectedly;reflate ah versus;weekly;volleyball utterly zowie;shocked quintessential;PUBLISHED;besides;where atop an;2026-08-15T09:59:42;../fake-data/blob/hipster.txt;2026-08-14T15:53:06;2026-08-15T01:51:54
