id;looking_for_company;created_at;updated_at
1;true;2026-08-15T01:04:37;2026-08-14T17:11:52
2;true;2026-08-15T06:24:04;2026-08-14T21:41:27
3;false;2026-08-14T15:51:43;2026-08-15T10:15:21
4;false;2026-08-14T15:57:18;2026-08-15T06:14:15
5;true;2026-08-15T14:52:39;2026-08-15T02:43:14
6;false;2026-08-14T16:25:39;2026-08-14T20:02:03
7;true;2026-08-14T21:55:20;2026-08-15T14:03:03
8;false;2026-08-15T12:48:14;2026-08-14T16:26:48
9;false;2026-08-14T20:05:29;2026-08-14T20:27:44
10;true;2026-08-15T00:18:15;2026-08-14T16:10:07
