id;provider_code;status;imported_count;error_message;started_at;finished_at
1;complicated veto;cardboard;9709;../fake-data/blob/hipster.txt;2026-08-15T03:32:28;2026-08-14T21:53:13
2;nifty welcome uh-huh;jive whoa gosh;3275;../fake-data/blob/hipster.txt;2026-08-15T00:37:13;2026-08-15T06:34:28
3;term house blah;guard worriedly;19166;../fake-data/blob/hipster.txt;2026-08-15T11:37:30;2026-08-15T12:58:01
4;yahoo lyre solidly;boo;6830;../fake-data/blob/hipster.txt;2026-08-15T08:07:30;2026-08-15T02:04:49
5;whose;punctually incomplet;6066;../fake-data/blob/hipster.txt;2026-08-14T16:45:15;2026-08-14T18:54:25
6;save hungry;difficult;18008;../fake-data/blob/hipster.txt;2026-08-15T10:49:10;2026-08-14T16:38:41
7;including beneath oh;phooey;13548;../fake-data/blob/hipster.txt;2026-08-15T11:21:37;2026-08-14T18:18:22
8;noisily tangible following;inside versus;13349;../fake-data/blob/hipster.txt;2026-08-14T16:29:29;2026-08-15T02:13:43
9;daily lend;sympathetically fora;6311;../fake-data/blob/hipster.txt;2026-08-14T23:01:16;2026-08-15T08:29:44
10;object fit whether;instead tired same;17372;../fake-data/blob/hipster.txt;2026-08-15T07:54:57;2026-08-15T10:10:40
