id;provider_code;external_offer_id;seller_name;purchase_url;currency;min_price;max_price;price_label;availability;fees_included;is_official;last_checked_at;raw_payload;created_at;updated_at
1;shoddy psst;prance lest;plus frenetically psst;fatally heavy meh;forenens;16465.61;13779.82;rebuke hunt gadzooks;UNKNOWN;true;true;2026-08-15T00:44:33;../fake-data/blob/hipster.txt;2026-08-14T23:28:05;2026-08-14T19:19:52
2;alert;rubric ack provided;refer;councilman afore dimly;aha ha q;20424.97;30703.08;lost across aha;UNKNOWN;true;false;2026-08-15T01:43:20;../fake-data/blob/hipster.txt;2026-08-15T12:00:13;2026-08-15T01:36:40
3;pronoun foolishly;lean phew a;upright lone quaintly;courageous;vacation;27635.42;15474.3;mmm blank;AVAILABLE;true;false;2026-08-15T11:30:48;../fake-data/blob/hipster.txt;2026-08-15T08:58:27;2026-08-15T12:30:57
4;defensive summary ham;er yet opposite;shiny untried;furthermore hornet fully;own modu;6984.91;25245.51;ah around;LIMITED;false;false;2026-08-15T10:57:17;../fake-data/blob/hipster.txt;2026-08-15T09:28:55;2026-08-14T17:17:33
5;pertain an;eek;frankly freely yippee;sans uselessly;minister;32303.6;31597.75;silver eke premium;UNKNOWN;true;true;2026-08-14T22:57:10;../fake-data/blob/hipster.txt;2026-08-15T02:07:53;2026-08-15T05:14:49
6;chilly though butter;upside-down drat abaft;subsidy;apropos;fail unt;7854.84;3552.12;transom hold;LIMITED;true;true;2026-08-14T20:39:18;../fake-data/blob/hipster.txt;2026-08-14T18:58:48;2026-08-15T10:23:47
7;bus supposing;inasmuch;pepper;worth yuck;alert bo;15803.86;19881.71;woot summer judgementally;SOLD_OUT;false;false;2026-08-14T22:23:57;../fake-data/blob/hipster.txt;2026-08-14T16:21:09;2026-08-15T02:17:01
8;perspire break once;who mmm premise;whether minus;boohoo persecute;super pa;2890.22;19500.64;oof criminal tricky;LIMITED;false;true;2026-08-15T05:28:38;../fake-data/blob/hipster.txt;2026-08-14T18:13:21;2026-08-14T22:17:22
9;gee er beside;shallow;urgently plagiarise;concerning sensitize;spook ro;17251.98;21135.89;provided;LIMITED;true;false;2026-08-15T00:15:42;../fake-data/blob/hipster.txt;2026-08-14T16:46:54;2026-08-14T20:41:19
10;chubby glum hmph;mentor ah;youthfully;inexperienced while;rigid dr;2005.29;1189.68;since afford defrag;AVAILABLE;false;false;2026-08-14T17:30:33;../fake-data/blob/hipster.txt;2026-08-14T18:47:47;2026-08-15T05:28:03
