id;target_type;target_id;body;moderation_status;created_at;updated_at
1;USER_REVIEW;602fb014-864f-49bf-b2a4-13972f3f3e46;qua clamp;FLAGGED;2026-08-14T17:18:54;2026-08-15T04:36:27
2;POST;868b9b89-987d-4e34-a4a9-909e2e562bd0;off tooth even;VISIBLE;2026-08-15T08:34:46;2026-08-15T08:14:09
3;USER_REVIEW;11d7305a-5824-4349-ba5c-45393c785417;incidentally;HIDDEN;2026-08-15T09:57:17;2026-08-15T15:03:29
4;POST;ca0a345d-89ad-478b-a509-8e42d62fcfa9;cute kowtow;HIDDEN;2026-08-15T02:33:03;2026-08-14T16:05:44
5;USER_REVIEW;0b4ceea0-faa3-4cb7-ab17-bbfac8fedf26;rear trench failing;VISIBLE;2026-08-14T23:42:05;2026-08-15T07:09:19
6;POST;fd1ecdc7-6828-4150-9918-56efc638f35f;ample;HIDDEN;2026-08-15T09:29:23;2026-08-14T21:11:58
7;POST;2faa9a7c-8697-4e51-9851-af034aaff7e1;ugh;VISIBLE;2026-08-14T17:23:14;2026-08-15T08:58:00
8;POST;3bf0516b-c7b8-4697-884c-72ef30450022;toothpick though;FLAGGED;2026-08-14T16:20:59;2026-08-15T08:32:56
9;POST;6de4ffd0-3c04-4966-b015-ff7093bc62ea;ouch whoa;HIDDEN;2026-08-15T05:08:25;2026-08-14T23:18:28
10;EVENT;bb495930-e0b1-4aac-9481-c2d07ae72fb5;aw behind rich;VISIBLE;2026-08-14T17:31:35;2026-08-15T12:11:29
