id;name;slug;description;visibility;cover_image_url;community_type;partner_trust_level;is_verified_partner;is_discoverable;created_at;updated_at
1;finger flashy whoa;vacantly per;../fake-data/blob/hipster.txt;PUBLIC;unethically;CATEGORY_HUB;VERIFIED;false;false;2026-08-15T15:32:37;2026-08-14T18:19:14
2;well-made;sadly heating midst;../fake-data/blob/hipster.txt;PUBLIC;why;PARTNER_HUB;VERIFIED;true;true;2026-08-14T18:27:36;2026-08-15T01:40:16
3;yowza yahoo boohoo;versus given;../fake-data/blob/hipster.txt;PRIVATE;revitalise quarrelsomely westernize;CATEGORY_HUB;VERIFIED;false;true;2026-08-14T20:31:42;2026-08-15T07:56:00
4;masculinize aside;whether after meaty;../fake-data/blob/hipster.txt;PRIVATE;obsess;PARTNER_HUB;NEW;true;false;2026-08-15T10:50:41;2026-08-15T06:17:46
5;scarily around;however premium;../fake-data/blob/hipster.txt;PUBLIC;upright;PARTNER_HUB;VERIFIED;true;true;2026-08-15T12:45:18;2026-08-15T03:09:35
6;and busily healthily;selfish tune-up;../fake-data/blob/hipster.txt;INVITE_ONLY;quizzically;PARTNER_HUB;TRUSTED;true;false;2026-08-15T04:07:34;2026-08-15T03:18:41
7;astride cinema;a;../fake-data/blob/hipster.txt;INVITE_ONLY;enlightened thoroughly courtroom;CATEGORY_HUB;VERIFIED;true;false;2026-08-15T10:15:40;2026-08-14T18:58:44
8;nightlife;overdub;../fake-data/blob/hipster.txt;INVITE_ONLY;reclassify;GROUP;TRUSTED;true;true;2026-08-14T15:56:34;2026-08-14T21:38:45
9;absent catalog;scaly secret;../fake-data/blob/hipster.txt;PUBLIC;what ouch angle;PARTNER_HUB;NEW;true;true;2026-08-15T02:14:02;2026-08-15T08:25:09
10;cake absent;powerless than hmph;../fake-data/blob/hipster.txt;PUBLIC;yippee;PARTNER_HUB;VERIFIED;false;true;2026-08-14T16:33:33;2026-08-15T10:21:20
