id;can_manage_groups;can_review_events;can_manage_participants;created_at;updated_at
1;true;false;true;2026-08-15T08:36:29;2026-08-14T23:00:44
2;false;false;false;2026-08-15T09:05:43;2026-08-14T22:05:06
3;true;false;true;2026-08-15T11:00:21;2026-08-15T07:21:38
4;true;true;true;2026-08-15T04:05:48;2026-08-15T14:42:10
5;false;true;false;2026-08-15T04:06:43;2026-08-15T01:48:26
6;true;false;true;2026-08-15T10:23:31;2026-08-15T08:35:44
7;true;false;true;2026-08-15T13:42:13;2026-08-15T03:36:57
8;true;false;false;2026-08-14T19:30:26;2026-08-15T03:06:15
9;true;true;true;2026-08-15T00:15:47;2026-08-15T13:45:41
10;true;true;false;2026-08-15T12:50:53;2026-08-15T10:22:25
