id;title;description;starts_at;ends_at;location_name;address_text;latitude;longitude;cover_image_url;capacity;status;rejection_reason;published_at;published_to_discovery;group_moderation_status;platform_moderation_status;cancelled_at;cancellation_reason;created_at;updated_at
1;bump well-to-do circa;../fake-data/blob/hipster.txt;2026-08-15T11:28:59;2026-08-14T17:05:26;aged clamour;as given table;2272.58;24752.01;whether slowly;10342;REJECTED;throughout save lowball;2026-08-15T09:30:22;false;PENDING;REJECTED;2026-08-15T07:17:22;within;2026-08-14T20:30:30;2026-08-14T22:32:43
2;eyeglasses;../fake-data/blob/hipster.txt;2026-08-15T11:01:03;2026-08-15T09:04:30;instead usable;eek;23193.75;11715.2;e-mail provided;20550;DRAFT;strait;2026-08-15T12:09:12;true;PENDING;APPROVED;2026-08-15T15:02:39;hence;2026-08-14T23:08:56;2026-08-15T06:11:30
3;for as;../fake-data/blob/hipster.txt;2026-08-15T00:04:50;2026-08-15T05:51:40;into gee coexist;evenly;13000.71;27165.17;limp;29639;DRAFT;minion league;2026-08-15T01:50:20;false;PENDING;PENDING;2026-08-15T05:48:55;kookily that through;2026-08-15T06:07:23;2026-08-15T11:25:05
4;whoa till kit;../fake-data/blob/hipster.txt;2026-08-14T16:48:54;2026-08-14T21:53:11;blink qua lest;light tool how;32589.06;17422.34;nice yippee anneal;8462;DRAFT;cruel boo showboat;2026-08-14T17:06:36;true;APPROVED;PENDING;2026-08-14T20:06:39;repossess;2026-08-15T03:36:36;2026-08-14T17:23:03
5;unusual foolishly;../fake-data/blob/hipster.txt;2026-08-14T19:15:57;2026-08-15T00:12:29;beside drat;mild in dredger;5669.67;25770.52;fatally youthfully;31631;DRAFT;healthily institute inside;2026-08-14T16:46:21;true;REJECTED;NOT_REQUIRED;2026-08-15T04:59:59;fatherly crest eek;2026-08-14T22:45:50;2026-08-15T06:51:43
6;absent quirkily irritably;../fake-data/blob/hipster.txt;2026-08-14T17:06:34;2026-08-14T16:11:40;by;seriously cappelletti;4927.7;27889.01;wafer optimistically;31622;PUBLISHED;coincide;2026-08-15T06:47:07;true;PENDING;PENDING;2026-08-15T08:53:52;reluctantly selfish;2026-08-15T03:58:14;2026-08-14T20:55:44
7;peter;../fake-data/blob/hipster.txt;2026-08-14T18:59:28;2026-08-14T18:11:39;contractor within silt;inhibit zowie but;28813.26;10990.2;ick tomatillo blowgun;31280;DRAFT;yieldingly the;2026-08-15T07:19:37;true;REJECTED;NOT_REQUIRED;2026-08-15T06:36:38;deficient rigidly;2026-08-15T10:10:32;2026-08-15T11:38:03
8;mockingly;../fake-data/blob/hipster.txt;2026-08-15T01:12:31;2026-08-15T05:02:37;willing oof;weatherize;1948.83;20364.74;infatuated;14400;CANCELLED;inasmuch if;2026-08-15T08:38:28;true;REJECTED;REJECTED;2026-08-14T19:34:27;so circumference tomorrow;2026-08-15T05:17:46;2026-08-15T13:18:44
9;during obnoxiously appropriate;../fake-data/blob/hipster.txt;2026-08-14T19:33:44;2026-08-14T15:58:21;apropos so;salty consequently;27177.74;14338.8;idealistic um skateboard;20149;COMPLETED;ugh vibration yowza;2026-08-14T23:08:33;true;APPROVED;REJECTED;2026-08-15T00:30:35;honorable;2026-08-15T08:06:33;2026-08-15T12:15:47
10;prestigious CD towards;../fake-data/blob/hipster.txt;2026-08-15T08:49:26;2026-08-14T21:54:28;natural aw mmm;skeleton;4870.59;25301.56;woot gosh yippee;6727;DRAFT;midst;2026-08-15T04:52:30;false;REJECTED;PENDING;2026-08-14T22:45:48;geez;2026-08-15T12:12:35;2026-08-14T20:27:40
