id;status;note;created_at;updated_at
1;WAITLISTED;including hence eek;2026-08-15T06:14:26;2026-08-15T11:55:46
2;PENDING;anti colon yuck;2026-08-15T13:08:34;2026-08-14T21:33:24
3;APPROVED;the hype;2026-08-15T15:31:00;2026-08-15T08:32:48
4;PENDING;gee gosh;2026-08-15T02:24:47;2026-08-15T14:14:52
5;REJECTED;searchingly;2026-08-14T18:32:40;2026-08-15T02:25:29
6;PENDING;sans;2026-08-15T05:28:08;2026-08-14T15:58:56
7;CHECKED_IN;comb idle for;2026-08-14T23:04:12;2026-08-14T21:18:35
8;WAITLISTED;instead;2026-08-15T05:03:42;2026-08-15T01:20:55
9;NO_SHOW;shovel blowgun however;2026-08-15T13:30:32;2026-08-14T17:15:54
10;CHECKED_IN;hmph especially veto;2026-08-15T01:03:44;2026-08-15T10:32:29
