id;rating;review_text;created_at;updated_at
1;5;yet instructive now;2026-08-15T01:43:06;2026-08-15T07:49:09
2;2;ugh gnaw;2026-08-15T11:43:52;2026-08-14T20:45:37
3;2;astride range cap;2026-08-15T15:27:34;2026-08-14T17:32:53
4;3;while;2026-08-14T21:46:52;2026-08-14T19:01:29
5;3;mortar;2026-08-15T12:45:07;2026-08-15T09:46:35
6;5;throbbing similar incidentally;2026-08-15T02:04:39;2026-08-14T17:46:45
7;1;tough incline foolhardy;2026-08-15T06:29:44;2026-08-14T21:59:57
8;1;paltry abnormally physically;2026-08-15T05:25:53;2026-08-15T01:10:34
9;4;so fooey puff;2026-08-15T11:17:44;2026-08-14T23:58:53
10;1;indeed efface backbone;2026-08-14T21:37:39;2026-08-14T17:59:34
