id;code;name_template;description;badge_type;minimum_check_ins;is_active;created_at
1;what yak;unscramble likewise ultimately;anticodon subdued from;COMMUNITY;10182;false;2026-08-14T22:53:00
2;ick;deadly;tromp minus;COMMUNITY;17695;true;2026-08-14T19:52:00
3;wholly;advancement indeed;likewise among via;CITY;5495;false;2026-08-14T22:12:41
4;provided disposer;drat;down;CITY_COMMUNITY;777;false;2026-08-15T11:25:58
5;furlough furiously;crank barring;aside;COMMUNITY;16528;false;2026-08-14T16:18:16
6;geez vainly upright;from trust;supposing;SPECIAL;1638;false;2026-08-15T01:25:37
7;record happy;nor as finally;huzzah teeming;CITY_COMMUNITY;27861;false;2026-08-15T12:18:06
8;drat hence regarding;inhibit far-flung;fantastic iridescence better;SPECIAL;26845;true;2026-08-15T07:15:14
9;toward consequently;powerful probable;gosh;CITY_COMMUNITY;10257;false;2026-08-15T01:15:43
10;fireplace;shout ill-fated;outdo those whoever;CITY;19156;false;2026-08-15T04:03:52
