id;token;redemption_code;status;issued_at;expires_at;redeemed_at;order_amount;discount_amount
1;48346441-a2a0-4d1d-8e5f-f5ec1154087e;surprise reopen bitterly;CANCELLED;2026-08-15T02:27:36;2026-08-15T11:17:46;2026-08-14T21:28:27;22575.49;19951.26
2;a06a1736-2733-474c-b57e-8e66e9887310;sheepishly normal fooey;CANCELLED;2026-08-14T20:21:17;2026-08-15T11:10:20;2026-08-15T10:43:02;19812.47;841.04
3;de7bea89-16ff-436c-ab74-b71b51eee08f;phooey chow sightseeing;ISSUED;2026-08-14T20:19:09;2026-08-15T13:34:10;2026-08-15T08:46:13;29199.61;32345.14
4;d1938548-b648-4afc-a239-384939d38218;sensitize how;REDEMED;2026-08-15T05:06:47;2026-08-14T21:13:10;2026-08-15T10:52:56;7310.65;11035.39
5;708f647a-3bc6-41ab-a28a-577d7f986f86;badly shakily yet;CANCELLED;2026-08-14T21:34:09;2026-08-14T17:18:46;2026-08-15T01:10:53;10976.32;17146.38
6;8084e0d8-a87d-4466-8d26-7b5b885db8b8;fortunate whenever whoa;EXPIRED;2026-08-15T12:24:59;2026-08-15T09:48:59;2026-08-15T12:45:56;2789.84;14840.03
7;ecbf5d3f-1124-43a0-bbb2-5e3de7a71d1c;ew;REDEMED;2026-08-14T20:14:42;2026-08-15T08:19:41;2026-08-14T21:31:41;11708.8;11099.43
8;c2f16eef-7d59-4fe3-b5b3-0ce8be1ad376;procurement huzzah;CANCELLED;2026-08-15T10:59:14;2026-08-14T20:09:34;2026-08-14T17:07:29;30381.48;11483.91
9;fb7ff026-48f2-4281-aff9-1cdcff6cf9cd;lecture;EXPIRED;2026-08-15T11:08:58;2026-08-14T21:09:10;2026-08-15T07:41:57;17677.09;8787.25
10;e18d08b8-200e-4d73-8c74-4946aecc025b;after;ISSUED;2026-08-15T10:27:17;2026-08-15T05:31:21;2026-08-14T22:14:11;15111.25;9904.19
