id;name;slug;description;category;logo_url;cover_image_url;address;city;latitude;longitude;phone;website_url;instagram_url;is_featured;is_active;created_at;updated_at
1;likely pitiful;if pro;../fake-data/blob/hipster.txt;EDUCATION;nifty brochure;version bonnet carefully;qua pro tuba;Adana;30459.08;15609.73;+90-258-933-68-40;blah nasalise;loyally tensely;true;true;2026-08-15T09:21:37;2026-08-15T14:59:59
2;oh certification;convoke ha tenderly;../fake-data/blob/hipster.txt;RESTAURANT;whoa;doorpost remarkable;invite;Sivas;15674.7;4223.88;+90-240-743-9-181;colorize;postbox;true;true;2026-08-15T15:14:32;2026-08-15T14:14:33
3;eek;sans;../fake-data/blob/hipster.txt;OTHER;understanding squeaky;whose homeschool;so smoothly;Kastamonu;28355.4;21631.8;+90-116-897-27-78;lyre potentially rapidly;whoa wry;true;true;2026-08-15T04:40:03;2026-08-15T14:54:37
4;equally astride;so not towards;../fake-data/blob/hipster.txt;HEALTH;nor;confusion;outnumber;Denizli;30066.25;28673.24;+90-630-340-58-99;readily indeed because;blah modulo;true;true;2026-08-15T00:21:55;2026-08-15T03:02:07
5;yet revitalise joyfully;slump;../fake-data/blob/hipster.txt;SHOPPING;hm masticate;since;scamper afterwards;Samsun;9367.16;22090.19;+90-724-017-48-30;rule;spark huzzah;false;false;2026-08-15T09:38:24;2026-08-14T21:59:15
6;sweetly dandelion;collaboration accelerator;../fake-data/blob/hipster.txt;HEALTH;bob yum;discrete psst;mid;Ardahan;502.94;24664.74;+90-801-406-57-04;hype colossal primary;finally secrecy uh-huh;true;true;2026-08-15T07:56:23;2026-08-15T13:20:33
7;amazing into;bend till incidentally;../fake-data/blob/hipster.txt;SHOPPING;next concerning solemnly;frightfully below cornet;amongst beside;Bolu;21153.52;2799.27;+90-216-336-6-457;seriously;solemnly;false;false;2026-08-15T14:01:37;2026-08-14T21:40:21
8;thick gadzooks snow;where;../fake-data/blob/hipster.txt;OTHER;even;plus;thrifty language quicker;Bartın;22875.04;12087.86;+90-363-302-3-079;cruelly;oh now;false;true;2026-08-14T21:30:49;2026-08-15T06:02:12
9;about ah unused;furthermore;../fake-data/blob/hipster.txt;EDUCATION;excluding;how fireplace translation;geez unlawful ready;Karaman;28152.43;24894.01;+90-466-345-34-43;amidst;interestingly phony;false;true;2026-08-14T15:48:33;2026-08-15T07:25:55
10;readily zowie;co-producer sticky boo;../fake-data/blob/hipster.txt;SHOPPING;mundane alert consequently;hammock satisfy meanwhile;imagineer beneath;Kütahya;32382.58;29092.89;+90-238-813-9-696;separately;over ambitious innocently;true;true;2026-08-15T12:10:56;2026-08-15T06:05:58
