id;role_code;created_at;updated_at
1;TEAM;2026-08-15T05:54:16;2026-08-14T20:18:41
2;TEAM;2026-08-15T12:16:23;2026-08-14T19:11:41
3;FOUNDER;2026-08-15T14:15:08;2026-08-15T08:09:48
4;SUPPORT;2026-08-15T05:15:29;2026-08-15T10:56:11
5;EDITOR;2026-08-15T11:37:48;2026-08-15T12:41:52
6;FOUNDER;2026-08-14T22:52:39;2026-08-15T00:21:30
7;EDITOR;2026-08-14T15:50:44;2026-08-14T18:21:24
8;SUPPORT;2026-08-15T11:31:28;2026-08-15T06:11:17
9;EDITOR;2026-08-14T22:04:46;2026-08-15T12:28:40
10;EDITOR;2026-08-14T17:39:38;2026-08-15T10:55:22
