id;body;visibility;moderation_status;created_at;updated_at
1;../fake-data/blob/hipster.txt;PUBLIC;FLAGGED;2026-08-15T13:05:25;2026-08-15T05:01:03
2;../fake-data/blob/hipster.txt;PUBLIC;FLAGGED;2026-08-15T12:29:11;2026-08-14T20:12:20
3;../fake-data/blob/hipster.txt;COMMUNITY_ONLY;VISIBLE;2026-08-15T01:34:49;2026-08-14T18:42:07
4;../fake-data/blob/hipster.txt;EVENT_ONLY;FLAGGED;2026-08-15T01:30:27;2026-08-15T04:29:18
5;../fake-data/blob/hipster.txt;PUBLIC;VISIBLE;2026-08-15T12:44:35;2026-08-15T04:21:07
6;../fake-data/blob/hipster.txt;COMMUNITY_ONLY;VISIBLE;2026-08-14T16:04:59;2026-08-15T14:01:25
7;../fake-data/blob/hipster.txt;EVENT_ONLY;FLAGGED;2026-08-14T17:03:27;2026-08-15T03:25:09
8;../fake-data/blob/hipster.txt;COMMUNITY_ONLY;VISIBLE;2026-08-14T19:18:34;2026-08-14T19:00:07
9;../fake-data/blob/hipster.txt;COMMUNITY_ONLY;VISIBLE;2026-08-14T20:18:07;2026-08-14T20:00:53
10;../fake-data/blob/hipster.txt;COMMUNITY_ONLY;FLAGGED;2026-08-14T17:15:00;2026-08-15T12:38:06
