id;media_type;storage_path;sort_order;created_at
1;IMAGE;publicize;20650;2026-08-15T07:40:58
2;IMAGE;yuck;20341;2026-08-15T03:30:52
3;VIDEO;coast aw;21781;2026-08-14T19:22:21
4;VIDEO;geez however;14103;2026-08-15T00:40:28
5;IMAGE;pish;24775;2026-08-15T12:19:25
6;VIDEO;ouch quintessential publicize;3053;2026-08-14T21:23:54
7;IMAGE;although psst shush;10588;2026-08-15T00:43:57
8;VIDEO;gah;10041;2026-08-15T03:22:55
9;IMAGE;bourgeoisie vivaciously yippee;16487;2026-08-15T03:19:07
10;VIDEO;boo um so;4745;2026-08-14T17:30:56
