id;device_token;platform;device_name;is_active;last_seen_at;created_at
1;um;IOS;afterwards;false;2026-08-15T12:39:14;2026-08-15T01:57:38
2;slump equally;ANDROID;mozzarella final;true;2026-08-15T06:26:27;2026-08-14T18:47:06
3;quietly;IOS;barring excess;true;2026-08-15T10:25:51;2026-08-14T23:42:53
4;satisfy;IOS;from obtrude foolhardy;true;2026-08-15T12:30:58;2026-08-15T08:58:41
5;tidy;ANDROID;minority fluctuate;true;2026-08-15T10:30:42;2026-08-14T17:48:39
6;once insistent;IOS;considering;false;2026-08-14T18:05:28;2026-08-14T17:34:00
7;nor;IOS;forenenst;false;2026-08-15T08:56:14;2026-08-15T01:33:55
8;gracefully;IOS;lecture;true;2026-08-15T14:57:33;2026-08-15T07:10:28
9;hopelessly junior fooey;IOS;gymnast jungle;true;2026-08-14T19:31:02;2026-08-15T07:14:07
10;reckless mortally;ANDROID;discrete dead;true;2026-08-15T09:28:31;2026-08-14T20:57:47
