id;rating;review_text;created_at;updated_at
1;4;provided pace;2026-08-15T07:34:54;2026-08-15T05:23:15
2;1;clamor seagull playfully;2026-08-15T06:23:24;2026-08-15T13:04:30
3;5;slowly recklessly;2026-08-15T00:28:42;2026-08-14T21:51:30
4;5;oh;2026-08-15T09:51:15;2026-08-14T17:08:28
5;5;bliss;2026-08-14T16:15:11;2026-08-15T07:36:22
6;2;birth incidentally phew;2026-08-15T13:13:22;2026-08-15T07:18:54
7;4;mechanically as till;2026-08-15T14:53:30;2026-08-14T23:08:02
8;5;clinch;2026-08-15T08:04:44;2026-08-15T03:00:13
9;2;husky able;2026-08-14T23:18:17;2026-08-14T19:46:11
10;2;or;2026-08-15T13:11:04;2026-08-15T08:04:39
